med_type_old,drug_std,med_type,broad_cat,drug_class,label,who_status
nonspecific anti-inflammatory and immunosuppressive drugs,abatacept,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,abatacept,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
kinase inhibitors,abivertinib maleate,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,abx464,,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,acalabrutinib,kinase inhibitors,Immunotherapies (kinase inhibitor),BTK inhibitors,Immunotherapy (BTK inhibitors),not_addressed_trial_only
kinase inhibitors,acalabrutinib,kinase inhibitors,Immunotherapies (kinase inhibitor),BTK inhibitors,Immunotherapy (BTK inhibitors),not_addressed_trial_only
miscellaneous other,ace inhibitor,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,ace2 inhibitor,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,ace2 inhibitor,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,acetaminophen,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,acetaminophen,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,acetylcysteine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,acetylcysteine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
monoclonal antibodies,adalimumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,adalimumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
monoclonal antibodies,adm03820,monoclonal antibodies,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,ak119,miscellaneous other,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,albumin,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,albuterol,,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,alisporivir,,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,almitrine,,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,alpha inhibitor,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,alpha-cyclodextrin,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,alpha-lipoic acid,,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,alteplase,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,alteplase,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
,ambrisentan,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,ambrisentan,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,amlodipine,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
antimalarial,amodiaquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_addressed_trial_only
antibiotics and antiparasitics,amoxicillin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,amy-101,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,anaesthetic,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
immunosuppressive drugs,anakinra,immunosuppressive drugs,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,anakinra,immunosuppressive drugs,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,anakinra,immunosuppressive drugs,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,angiotensin 1-7,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,angiotensin 1-7,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,angiotensin receptor blockers,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,angiotensin receptor blockers,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
other antiviral,anif1,other antiviral,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,anticoagulation,,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,antipyretic,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,antiseptic nasal spray,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,antroquinonol,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
kinase inhibitors,apilimod mesylate,kinase inhibitors,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,apixaban,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,apixaban,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,apl-9,miscellaneous other,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
others,apocynin,others,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,apremilast,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
immunosuppressive drugs,apremilast,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,aprepitant,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
antimalarial,artemisinin derivatives,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_addressed_trial_only
,artemisinin derivatives,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_addressed_trial_only
,aspirin,miscellaneous other,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
miscellaneous other,aspirin,miscellaneous other,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
miscellaneous other,asunercept/asuncercept,miscellaneous other,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,asunercept/asuncercept,miscellaneous other,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
antiviral not specified,at-301,antiviral not specified,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,at-527,,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
antiviral antiretrovirals,atazanavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
