st_reg_id,registry,is_platform_subtrial,results_recruitment_status,pub_link,pmid,best_date,journal,best_registry_date,st_pub_reported,is_euctr_country_entry
ACTRN12618000520235,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000417987,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000445976,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000454976,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000457943,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000473965,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000478910,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000501943,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000557932,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000580976,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000588998,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000731998,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,1,FALSE
ACTRN12620000816954,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000834954,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620000982910,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620001104943,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12620001371987,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12621000607875,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
ACTRN12621000704897,ANZCTR,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
